year,session, code,subject, max_mark, a*, a, b, c, d, e
2017,June,7201,ART & DESIGN ADV (ART CRAFT & DES),480,386,360,311,262,213,165
2017,June,7202,ART & DESIGN ADV (FINE ART),480,386,360,311,262,213,165
2017,June,7203,ART & DESIGN ADV (GRAPHIC COMM),480,386,360,311,262,213,165
2017,June,7204,ART & DESIGN ADV (TEXTILE DESIGN),480,386,360,311,262,213,165
2017,June,7205,ART & DESIGN ADV (3D DESIGN),480,386,360,311,262,213,165
2017,June,7206,ART & DESIGN ADV (PHOTOGRAPHY),480,399,375,331,287,243,200
2017,June,7402,BIOLOGY ADV,260,174,147,124,101,78,56
2017,June,7132,BUSINESS ADV,300,220,195,166,137,108,79
2017,June,7405,CHEMISTRY ADV,300,246,204,169,134,99,64
2017,June,7517A,COMPUTER SCIENCE ADV (C#),375,316,264,219,174,129,84
2017,June,7517B,COMPUTER SCIENCE ADV (JAVA),375,316,264,219,174,129,84
2017,June,7517C,COMPUTER SCIENCE ADV (PASCAL/DELPHI),375,316,264,219,174,129,84
2017,June,7517D,COMPUTER SCIENCE ADV (PYTHON),375,316,264,219,174,129,84
2017,June,7517E,COMPUTER SCIENCE ADV (VB.NET),375,316,264,219,174,129,84
2017,June,7136,ECONOMICS ADV,240,193,167,144,121,99,77
2017,June,7707,ENGLISH LANGUAGE AND LITERATURE ADV,250,199,177,149,122,95,68
2017,June,7702,ENGLISH LANGUAGE ADV,500,426,373,316,259,202,145
2017,June,7712A,ENGLISH LITERATURE A ADV OPTION A,375,316,280,239,198,157,117
2017,June,7712B,ENGLISH LITERATURE A ADV OPTION B,375,320,282,236,190,144,99
2017,June,7717AA,ENGLISH LITERATURE B ADV OPTION AA,375,302,267,229,191,153,115
2017,June,7717AB,ENGLISH LITERATURE B ADV OPTION AB,375,305,269,231,193,156,119
2017,June,7717BA,ENGLISH LITERATURE B ADV OPTION BA,375,317,279,236,193,151,109
2017,June,7717BB,ENGLISH LITERATURE B ADV OPTION BB,375,317,281,239,197,155,113
2017,June,7042AA,HISTORY ADV OPTION AA,200,153,130,109,88,67,47
2017,June,7042AB,HISTORY ADV OPTION AB,200,161,132,111,90,70,50
2017,June,7042AD,HISTORY ADV OPTION AD,200,156,137,115,93,71,49
2017,June,7042AE,HISTORY ADV OPTION AE,200,178,141,117,93,70,47
2017,June,7042AM,HISTORY ADV OPTION AM,200,145,136,114,92,70,48
2017,June,7042AS,HISTORY ADV OPTION ADV,200,159,132,110,89,68,47
2017,June,7042BA,HISTORY ADV OPTION BA,200,154,144,123,102,81,60
2017,June,7042BB,HISTORY ADV OPTION BB,200,175,146,125,104,83,63
2017,June,7042BD,HISTORY ADV OPTION BD,200,168,151,128,106,84,62
2017,June,7042BE,HISTORY ADV OPTION BE,200,166,155,131,107,83,60
2017,June,7042BM,HISTORY ADV OPTION BM,200,167,150,127,105,83,61
2017,June,7042BS,HISTORY ADV OPTION BS,200,174,146,124,102,81,60
2017,June,7042CF,HISTORY ADV OPTION CF,200,160,136,114,92,70,48
2017,June,7042CG,HISTORY ADV OPTION CG,200,143,130,109,88,67,47
2017,June,7042CH,HISTORY ADV OPTION CH,200,152,131,110,89,68,47
2017,June,7042CJ,HISTORY ADV OPTION CJ,200,150,133,112,91,71,51
2017,June,7042CK,HISTORY ADV OPTION CK,200,149,127,107,87,68,49
2017,June,7042CL,HISTORY ADV OPTION CL,200,144,128,108,88,69,50
2017,June,7042CN,HISTORY ADV OPTION CN,200,152,131,110,89,68,47
2017,June,7042CO,HISTORY ADV OPTION CO,200,149,130,109,88,68,48
2017,June,7042CP,HISTORY ADV OPTION CP,200,151,132,111,91,71,51
2017,June,7042CQ,HISTORY ADV OPTION CQ,200,158,134,112,90,68,47
2017,June,7042CR,HISTORY ADV OPTION CR,200,152,129,108,87,67,47
2017,June,7042CT,HISTORY ADV OPTION CT,200,163,135,113,91,69,47
2017,June,7042DC,HISTORY ADV OPTION DC,200,173,148,125,102,79,56
2017,June,7042DG,HISTORY ADV OPTION DG,200,157,142,120,98,76,54
2017,June,7042DH,HISTORY ADV OPTION DH,200,164,143,120,98,76,54
2017,June,7042DJ,HISTORY ADV OPTION DJ,200,159,145,123,101,79,58
2017,June,7042DK,HISTORY ADV OPTION DK,200,172,139,118,97,76,56
2017,June,7042DL,HISTORY ADV OPTION DL,200,162,140,119,98,77,57
2017,June,7042DN,HISTORY ADV OPTION DN,200,164,143,120,98,76,54
2017,June,7042DO,HISTORY ADV OPTION DO,200,161,142,120,98,76,55
2017,June,7042DP,HISTORY ADV OPTION DP,200,169,144,122,100,79,58
2017,June,7042DQ,HISTORY ADV OPTION DQ,200,170,146,123,100,77,54
2017,June,7042DR,HISTORY ADV OPTION DR,200,165,141,119,97,75,54
2017,June,7042DT,HISTORY ADV OPTION DT,200,172,147,123,100,77,54
2017,June,7042EB,HISTORY ADV OPTION EB,200,156,138,117,97,77,57
2017,June,7042EE,HISTORY ADV OPTION EE,200,172,147,123,100,77,54
2017,June,7042EM,HISTORY ADV OPTION EM,200,160,142,120,98,76,55
2017,June,7042ES,HISTORY ADV OPTION ES,200,163,138,117,96,75,54
2017,June,7042FC,HISTORY ADV OPTION FC,200,156,145,122,99,76,53
2017,June,7042FF,HISTORY ADV OPTION FF,200,172,145,121,98,75,52
2017,June,7042FG,HISTORY ADV OPTION FG,200,174,139,117,95,73,51
2017,June,7042FH,HISTORY ADV OPTION FH,200,161,140,117,95,73,51
2017,June,7042FJ,HISTORY ADV OPTION FJ,200,160,142,120,98,76,55
2017,June,7042FL,HISTORY ADV OPTION FL,200,167,137,116,95,74,54
2017,June,7042FN,HISTORY ADV OPTION FN,200,159,140,117,95,73,51
2017,June,7042FO,HISTORY ADV OPTION FO,200,156,139,117,95,73,52
2017,June,7042FP,HISTORY ADV OPTION FP,200,164,141,119,97,76,55
2017,June,7042FQ,HISTORY ADV OPTION FQ,200,168,143,120,97,74,51
2017,June,7042FR,HISTORY ADV OPTION FR,200,161,138,116,94,72,51
2017,June,7042FT,HISTORY ADV OPTION FT,200,168,144,120,97,74,51
2017,June,7042GC,HISTORY ADV OPTION GC,200,160,136,114,92,70,49
2017,June,7042GF,HISTORY ADV OPTION GF,200,155,136,114,92,70,48
2017,June,7042GG,HISTORY ADV OPTION GG,200,146,130,109,88,67,47
2017,June,7042GH,HISTORY ADV OPTION GH,200,156,131,110,89,68,47
2017,June,7042GJ,HISTORY ADV OPTION GJ,200,155,133,112,91,71,51
2017,June,7042GL,HISTORY ADV OPTION GL,200,153,128,108,88,69,50
2017,June,7042GN,HISTORY ADV OPTION GN,200,165,131,110,89,68,47
2017,June,7042GO,HISTORY ADV OPTION GO,200,146,130,109,88,68,48
2017,June,7042GP,HISTORY ADV OPTION GP,200,149,132,111,91,71,51
2017,June,7042GQ,HISTORY ADV OPTION GQ,200,158,134,112,90,68,47
2017,June,7042GR,HISTORY ADV OPTION GR,200,156,129,108,87,67,47
2017,June,7042HA,HISTORY ADV OPTION HA,200,154,131,110,89,68,47
2017,June,7042HB,HISTORY ADV OPTION HB,200,154,133,112,91,70,50
2017,June,7042HD,HISTORY ADV OPTION HD,200,158,138,115,93,71,49
2017,June,7042HE,HISTORY ADV OPTION HE,200,167,142,118,94,70,47
2017,June,7042HM,HISTORY ADV OPTION HM,200,158,137,114,92,70,48
2017,June,7042HS,HISTORY ADV OPTION HS,200,154,133,111,89,68,47
2017,June,7042JF,HISTORY ADV OPTION JF,200,168,143,119,95,71,48
2017,June,7042JG,HISTORY ADV OPTION JG,200,163,137,114,91,69,47
2017,June,7042JH,HISTORY ADV OPTION JH,200,159,138,115,92,69,47
2017,June,7042JK,HISTORY ADV OPTION JK,200,156,134,112,91,70,49
2017,June,7042JL,HISTORY ADV OPTION JL,200,157,135,113,92,71,50
2017,June,7042JN,HISTORY ADV OPTION JN,200,169,138,115,92,69,47
2017,June,7042JO,HISTORY ADV OPTION JO,200,159,137,114,92,70,48
2017,June,7042JP,HISTORY ADV OPTION JP,200,163,139,117,95,73,51
2017,June,7042JQ,HISTORY ADV OPTION JQ,200,166,141,117,93,70,47
2017,June,7042JR,HISTORY ADV OPTION JR,200,154,136,113,91,69,47
2017,June,7042KA,HISTORY ADV OPTION KA,200,161,129,108,88,68,48
2017,June,7042KB,HISTORY ADV OPTION KB,200,153,131,111,91,71,51
2017,June,7042KD,HISTORY ADV OPTION KD,200,166,136,114,92,71,50
2017,June,7042KE,HISTORY ADV OPTION KE,200,167,140,117,94,71,48
2017,June,7042KM,HISTORY ADV OPTION KM,200,162,135,113,91,70,49
2017,June,7042KS,HISTORY ADV OPTION KS,200,152,131,110,89,68,48
2017,June,7042LA,HISTORY ADV OPTION LA,200,156,126,106,86,66,47
2017,June,7042LB,HISTORY ADV OPTION LB,200,149,128,108,88,69,50
2017,June,7042LD,HISTORY ADV OPTION LD,200,156,133,112,91,70,49
2017,June,7042LE,HISTORY ADV OPTION LE,200,159,137,114,91,69,47
2017,June,7042LM,HISTORY ADV OPTION LM,200,162,132,111,90,69,48
2017,June,7042LS,HISTORY ADV OPTION LS,200,149,128,107,87,67,47
2017,June,7408A,PHYSICS ADV OPTION A,250,181,149,126,103,81,59
2017,June,7408B,PHYSICS ADV OPTION A,250,174,142,120,98,76,54
2017,June,7408C,PHYSICS ADV OPTION A,250,183,151,127,103,79,56
2017,June,7408D,PHYSICS ADV OPTION A,250,176,145,122,99,76,53
2017,June,7408E,PHYSICS ADV OPTION A,250,183,152,129,106,83,61
2017,June,7182,PSYCHOLOGY ADV,288,217,193,164,135,106,78
2017,June,7192,SOCIOLOGY ADV,240,179,160,138,117,96,75
2017,June,7201,ART & DESIGN (ART CRAFT & DESIGN) 7201/C ART & DESIGN (ART CRAFT & DES) PFO,96,77,72,62,52,42,33
2017,June,7201/C,ART & DESIGN (ART CRAFT & DES) PFO,288,232,216,186,157,128,99
2017,June,7201/X,ART & DESIGN (ART CRAFT & DES) ETX,96,77,72,62,52,42,33
2017,June,7201/X,ART & DESIGN (ART CRAFT & DES) ETX,192,154,144,124,105,86,66
2017,June,7202,ART & DESIGN (FINE ART) 7202/C ART & DESIGN (FINE ART) PFO,96,77,72,62,52,42,33
2017,June,7202/C,ART & DESIGN (FINE ART) PFO,288,232,216,186,157,128,99
2017,June,7202/X,ART & DESIGN (FINE ART) ETX,96,77,72,62,52,42,33
2017,June,7202/X,ART & DESIGN (FINE ART) ETX,192,154,144,124,104,85,66
2017,June,7203,ART & DESIGN (GRAPHIC COMMUNICATION) 7203/C ART & DESIGN (GRAPHIC COM) PFO,96,77,72,62,52,42,33
2017,June,7203/C,ART & DESIGN (GRAPHIC COM) PFO,288,232,216,186,157,128,99
2017,June,7203/X,ART & DESIGN (GRAPHIC COM) ETX,96,77,72,62,52,42,33
2017,June,7203/X,ART & DESIGN (GRAPHIC COM) ETX,192,154,144,124,104,85,66
2017,June,7204,ART & DESIGN (TEXTILE DESIGN) 7204/C ART & DESIGN (TEXTILE DESIGN) PFO,96,77,72,62,52,42,33
2017,June,7204/C,ART & DESIGN (TEXTILE DESIGN) PFO,288,232,216,186,157,128,99
2017,June,7204/X,ART & DESIGN (TEXTILE DESIGN) ETX,96,77,72,62,52,42,33
2017,June,7204/X,ART & DESIGN (TEXTILE DESIGN) ETX,192,154,144,124,104,85,66
2017,June,7205,ART & DESIGN (3D DESIGN) 7205/C ART & DESIGN (3D DESIGN) PFO,96,77,72,62,52,42,33
2017,June,7205/C,ART & DESIGN (3D DESIGN) PFO,288,232,216,186,157,128,99
2017,June,7205/X,ART & DESIGN (3D DESIGN) ETX,96,77,72,62,52,42,33
2017,June,7205/X,ART & DESIGN (3D DESIGN) ETX,192,154,144,124,104,85,66
2017,June,7206,ART & DESIGN (PHOTOGRAPHY) 7206/C ART & DESIGN (PHOTOGRAPHY) PFO,96,80,75,66,57,48,40
2017,June,7206/C,ART & DESIGN (PHOTOGRAPHY) PFO,288,239,225,198,172,146,120
2017,June,7206/X,ART & DESIGN (PHOTOGRAPHY) ETX,96,80,75,66,57,48,40
2017,June,7206/X,ART & DESIGN (PHOTOGRAPHY) ETX,192,160,150,132,114,97,80
2017,June,7402,BIOLOGY 7402/1 BIOLOGY PAPER 1,91,61,51,43,35,27,19
2017,June,7402/2,BIOLOGY PAPER 2,91,60,50,42,34,26,18
2017,June,7402/3,BIOLOGY PAPER 3,78,54,46,39,32,25,19
2017,June,7132,BUSINESS 7132/1 BUSINESS PAPER 1,100,74,66,57,48,39,30
2017,June,7132/2,BUSINESS PAPER 2,100,76,69,59,49,39,29
2017,June,7132/3,BUSINESS PAPER 3,100,70,60,50,40,30,20
2017,June,7405,CHEMISTRY 7405/1 CHEMISTRY PAPER 1,105,88,75,62,49,36,23
2017,June,7405/2,CHEMISTRY PAPER 2,105,86,72,59,47,35,22
2017,June,7405/3,CHEMISTRY PAPER 3,90,71,57,47,38,29,19
2017,June,7517,COMPUTER SCIENCE 7517/1A COMPUTER SCIENCE PAPER 1A(C#),100,84,70,57,45,33,20
2017,June,7517/1A,COMPUTER SCIENCE PAPER 1A(C#),150,126,105,86,67,48,30
2017,June,7517/1B,COMPUTER SCIENCE PAPER 1B(JAVA),100,84,70,57,45,33,20
2017,June,7517/1B,COMPUTER SCIENCE PAPER 1B(JAVA),150,126,105,86,67,48,30
2017,June,7517/1C,COMPUTER SCIENCE PAPER 1C(PCAL),100,84,70,57,45,33,20
2017,June,7517/1C,COMPUTER SCIENCE PAPER 1C(PCAL),150,126,105,86,67,48,30
2017,June,7517/1D,COMPUTER SCIENCE PAPER 1D(PYTHON),100,84,70,57,45,33,20
2017,June,7517/1D,COMPUTER SCIENCE PAPER 1D(PYTHON),150,126,105,86,67,48,30
2017,June,7517/1E,COMPUTER SCIENCE PAPER 1E(VB.NET),100,84,70,57,44,32,20
2017,June,7517/1E,COMPUTER SCIENCE PAPER 1E(VB.NET),150,126,105,86,67,48,30
2017,June,7517/2,COMPUTER SCIENCE PAPER 2,100,81,64,54,44,34,24
2017,June,7517/2,COMPUTER SCIENCE PAPER 2,150,121,96,81,66,51,36
2017,June,7517/C,COMPUTER SCIENCE COURSEWORK,75,69,63,51,39,28,18
2017,June,7136,ECONOMICS 7136/1 ECONOMICS PAPER 1,80,66,59,50,41,33,26
2017,June,7136/2,ECONOMICS PAPER 2,80,64,55,46,38,30,22
2017,June,7136/3,ECONOMICS PAPER 3,80,63,53,47,41,35,29
2017,June,7707,ENGLISH LANGUAGE AND LITERATURE 7707/1 ENGLISH LANG AND LIT PAPER 1,100,76,65,55,45,35,25
2017,June,7707/2,ENGLISH LANG AND LIT PAPER 2,100,78,69,59,49,39,30
2017,June,7707/C,ENGLISH LANG AND LIT COURSEWORK,50,45,43,35,28,21,13
2017,June,7702,ENGLISH LANGUAGE 7702/1 ENGLISH LANGUAGE PAPER 1,100,84,72,61,51,41,31
2017,June,7702/1,ENGLISH LANGUAGE PAPER 1,200,167,144,123,103,83,62
2017,June,7702/2,ENGLISH LANGUAGE PAPER 2,100,84,72,60,49,38,26
2017,June,7702/2,ENGLISH LANGUAGE PAPER 2,200,167,144,121,98,75,52
2017,June,7702/C,ENGLISH LANGUAGE COURSEWORK,100,91,85,71,58,45,31
2017,June,7712,ENGLISH LITERATURE A 7712/1 ENGLISH LITERATURE A PAPER 1,75,62,54,45,37,29,21
2017,June,7712/1,ENGLISH LITERATURE A PAPER 1,150,125,108,91,75,59,42
2017,June,7712/2A,ENGLISH LITERATURE A PAPER 2A,75,62,53,45,37,30,24
2017,June,7712/2A,ENGLISH LITERATURE A PAPER 2A,150,124,106,91,77,63,48
2017,June,7712/2B,ENGLISH LITERATURE A PAPER 2B,75,62,54,44,34,24,15
2017,June,7712/2B,ENGLISH LITERATURE A PAPER 2B,150,125,108,88,68,49,30
2017,June,7712/C,ENGLISH LITERATURE A COURSEWORK,50,46,44,37,30,24,18
2017,June,7712/C,ENGLISH LITERATURE A COURSEWORK,75,70,66,56,46,36,27
2017,June,7717,ENGLISH LITERATURE B 7717/1A ENGLISH LITERATURE B PAPER 1A,75,57,48,40,33,26,18
2017,June,7717/1A,ENGLISH LITERATURE B PAPER 1A,150,114,96,81,66,51,36
2017,June,7717/1B,ENGLISH LITERATURE B PAPER 1B,75,61,54,44,34,24,15
2017,June,7717/1B,ENGLISH LITERATURE B PAPER 1B,150,122,108,88,69,50,30
2017,June,7717/2A,ENGLISH LITERATURE B PAPER 2A,75,61,54,47,40,33,26
2017,June,7717/2A,ENGLISH LITERATURE B PAPER 2A,150,122,108,94,80,66,52
2017,June,7717/2B,ENGLISH LITERATURE B PAPER 2B,75,62,55,48,41,34,28
2017,June,7717/2B,ENGLISH LITERATURE B PAPER 2B,150,124,110,96,82,69,56
2017,June,7717/C,ENGLISH LITERATURE B COURSEWORK,50,45,42,36,30,24,18
2017,June,7717/C,ENGLISH LITERATURE B COURSEWORK,75,67,63,54,45,36,27
2017,June,7042,HISTORY 7042/1A HISTORY PAPER 1A,80,60,50,41,33,25,16
2017,June,7042/1B,HISTORY PAPER 1B,80,69,64,55,46,37,29
2017,June,7042/1C,HISTORY PAPER 1C,80,59,48,40,32,24,16
2017,June,7042/1D,HISTORY PAPER 1D,80,67,60,50,41,32,23
2017,June,7042/1E,HISTORY PAPER 1E,80,64,56,47,39,31,23
2017,June,7042/1F,HISTORY PAPER 1F,80,65,57,47,38,29,20
2017,June,7042/1G,HISTORY PAPER 1G,80,59,48,40,32,24,16
2017,June,7042/1H,HISTORY PAPER 1H,80,61,51,42,33,24,16
2017,June,7042/1J,HISTORY PAPER 1J,80,63,55,45,35,25,16
2017,June,7042/1K,HISTORY PAPER 1K,80,59,49,41,33,25,17
2017,June,7042/1L,HISTORY PAPER 1L,80,57,46,38,30,23,16
2017,June,7042/2A,HISTORY PAPER 2A,80,59,48,40,32,24,16
2017,June,7042/2B,HISTORY PAPER 2B,80,60,50,42,34,26,19
2017,June,7042/2C,HISTORY PAPER 2C,80,64,56,46,37,28,18
2017,June,7042/2D,HISTORY PAPER 2D,80,63,55,45,36,27,18
2017,June,7042/2E,HISTORY PAPER 2E,80,66,59,48,37,26,16
2017,June,7042/2F,HISTORY PAPER 2F,80,64,56,46,36,26,17
2017,June,7042/2G,HISTORY PAPER 2G,80,60,50,41,33,25,16
2017,June,7042/2H,HISTORY PAPER 2H,80,61,51,42,33,24,16
2017,June,7042/2J,HISTORY PAPER 2J,80,62,53,44,36,28,20
2017,June,7042/2K,HISTORY PAPER 2K,80,58,47,39,31,24,18
2017,June,7042/2L,HISTORY PAPER 2L,80,59,48,40,33,26,19
2017,June,7042/2M,HISTORY PAPER 2M,80,63,54,44,35,26,17
2017,June,7042/2N,HISTORY PAPER 2N,80,61,51,42,33,24,16
2017,June,7042/2O,HISTORY PAPER 2O,80,60,50,41,33,25,17
2017,June,7042/2P,HISTORY PAPER 2P,80,61,52,44,36,28,20
2017,June,7042/2Q,HISTORY PAPER 2Q,80,63,54,44,35,26,16
2017,June,7042/2R,HISTORY PAPER 2R,80,59,49,40,31,23,16
2017,June,7042/2S,HISTORY PAPER 2S,80,60,50,41,33,25,16
2017,June,7042/2T,HISTORY PAPER 2T,80,63,55,45,35,25,16
2017,June,7042/C,HISTORY COURSEWORK,40,35,32,27,23,19,15
2017,June,7408,PHYSICS 7408/1 PHYSICS PAPER 1,85,61,50,42,35,28,20
2017,June,7408/2,PHYSICS PAPER 2,85,64,54,45,37,29,20
2017,June,7408/3A,PHYSICS PAPER 3 SECTION A,45,29,22,18,14,10,7
2017,June,7408/3BA,PHYSICS PAPER 3 SECTION BA,35,27,23,20,17,14,12
2017,June,7408/3BB,PHYSICS PAPER 3 SECTION BB,35,22,16,13,10,8,7
2017,June,7408/3BC,PHYSICS PAPER 3 SECTION BC,35,28,25,21,17,13,9
2017,June,7408/3BD,PHYSICS PAPER 3 SECTION BD,35,24,19,15,11,8,6
2017,June,7408/3BE,PHYSICS PAPER 3 SECTION BE,35,29,26,23,20,17,14
2017,June,7182,PSYCHOLOGY 7182/1 PSYCHOLOGY PAPER 1,96,74,66,56,46,36,27
2017,June,7182/2,PSYCHOLOGY PAPER 2,96,74,67,57,47,37,28
2017,June,7182/3,PSYCHOLOGY PAPER 3,96,69,60,50,40,31,23
2017,June,7192,SOCIOLOGY 7192/1 SOCIOLOGY PAPER 1,80,60,54,48,42,36,30
2017,June,7192/2,SOCIOLOGY PAPER 2,80,58,51,43,36,29,22
2017,June,7192/3,SOCIOLOGY PAPER 3,80,61,55,47,39,31,23
2018,June,7201,ART & DESIGN ADV (ART CRAFT & DES),480,391,365,315,265,215,165
2018,June,7202,ART & DESIGN ADV (FINE ART),480,391,365,315,265,215,165
2018,June,7203,ART & DESIGN ADV (GRAPHIC COMM),480,391,365,315,265,215,165
2018,June,7204,ART & DESIGN ADV (TEXTILE DESIGN),480,391,365,315,265,215,165
2018,June,7205,ART & DESIGN ADV (3D DESIGN),480,391,365,315,265,215,165
2018,June,7206,ART & DESIGN ADV (PHOTOGRAPHY),480,403,385,338,292,246,200
2018,June,7402,BIOLOGY ADV,260,166,138,116,94,72,50
2018,June,7132,BUSINESS ADV,300,221,196,166,137,108,79
2018,June,7405,CHEMISTRY ADV,300,241,198,163,128,94,60
2018,June,7517A,COMPUTER SCIENCE ADV (C#),375,314,260,215,170,125,80
2018,June,7517B,COMPUTER SCIENCE ADV (JAVA),375,314,260,215,170,125,80
2018,June,7517C,COMPUTER SCIENCE ADV (PASCAL/DELPHI),375,314,260,215,170,125,80
2018,June,7517D,COMPUTER SCIENCE ADV (PYTHON),375,314,260,215,170,125,80
2018,June,7517E,COMPUTER SCIENCE ADV (VB.NET),375,314,260,215,170,125,80
2018,June,7237,DANCE ADV,200,139,129,112,95,78,62
2018,June,7262,DRAMA AND THEATRE ADV,200,164,147,126,106,86,66
2018,June,7136,ECONOMICS ADV,240,188,163,140,117,94,72
2018,June,7702,ENGLISH LANGUAGE ADV,500,433,381,328,275,222,169
2018,June,7707,ENGLISH LANGUAGE AND LITERATURE ADV,250,196,175,150,126,102,78
2018,June,7712A,ENGLISH LITERATURE A ADV OPTION A,375,314,278,237,197,157,117
2018,June,7712B,ENGLISH LITERATURE A ADV OPTION B,375,319,282,239,196,153,111
2018,June,7717AA,ENGLISH LITERATURE B ADV OPTION AA,375,295,259,222,185,148,111
2018,June,7717AB,ENGLISH LITERATURE B ADV OPTION AB,375,303,265,226,187,149,111
